,Unnamed: 0,PlayerId,PlayerName,Full name,Team,Batting style,Bowling style,Fielding position,Current age,Height,Playing role,Born,Also known as,Died,Education,Major teams,Nickname,Other,Relation,In a nutshell,TotalRuns,MatchesPlayed
219,219,219,HD Rutherford,Hamish Duncan Rutherford,New Zealand,Left-hand bat,Left-arm Orthodox,,28 years 288 days,,Opening batsman,"April 27, 1989, Dunedin, Otago ",,,,"['New Zealand', 'Essex', 'New Zealand A', 'New Zealand Under-19s', 'New Zealand XI', 'Otago']",,,"['Father - KR Rutherford', 'Uncle - IA Rutherford']",,151.0,6
220,220,220,E Schiferli,Edgar Schiferli,Netherlands,Right-hand bat,Right-arm Fast,,41 years 268 days,,,"May 17, 1976 ",,,,"['Netherlands', 'Quick Haag']",,,,,7.0,4
221,221,221,P Kumar,Praveenkumar Sakat Singh,India,Right-hand bat,Right-arm Medium,,31 years 130 days,,Bowler,"October 2, 1986, Meerut, Uttar Pradesh ",,,,"['India', 'Air India', 'Gujarat Lions', 'India Red', 'Kings XI Punjab', 'Mumbai T20', 'Royal Challengers Bangalore', 'Sunrisers Hyderabad', 'Uttar Pradesh']",,,,,7.0,10
222,222,222,GB Brent,Gary Bazil Brent,Zimbabwe,Right-hand bat,Right-arm Medium,,42 years 27 days,,,"January 13, 1976, Sinoia (now Chinhoyi), Mashonaland ",,,,"['Zimbabwe', 'Manicaland', 'Mashonaland', 'Mashonaland A', 'Mashonaland Under-24s', 'Young Mashonaland']",,,Cousin - DJ Brent,,0.0,2
223,223,223,Anwar Ali,Anwar Ali,Pakistan,Right-hand bat,Right-arm Fast,,30 years 76 days,,Bowler,"November 25, 1987, Karachi, Sind ",,,,"['Pakistan', 'Karachi Blues', 'Karachi Dolphins', 'Karachi Harbour', 'Karachi Urban', 'Karachi Zebras', 'Pakistan A', 'Pakistan International Airlines', 'Pakistan Under-19s', 'Quetta Gladiators', 'Sind']",,,,,109.0,15
224,224,224,Mohammad Saifuddin,Mohammad Saifuddin,Bangladesh,Left-hand bat,Right-arm Fast,,21 years 100 days,,Bowling allrounder,"November 1, 1996, Feni, Chittagong ",,,,"['Bangladesh Under-19s', 'Chittagong Division']",,,,,6.0,2
225,225,225,GE Mathurin,Garey Earl Mathurin,West Indies,Left-hand bat,Left-arm Orthodox,,34 years 139 days,,Allrounder,"September 23, 1983, Mon Repos, St. Lucia ",,,,"['West Indies', 'Jamaica Tallawahs', 'St Lucia', 'St Lucia Zouks', 'West Indies A', 'Windward Islands']",,,,,4.0,3
226,226,226,Muhammad Usman,Muhammad Usman,United Arab Emirates,Left-hand bat,Not Specified,,32 years 119 days,,Middle-order batsman,"October 13, 1985, Lahore ",,,,United Arab Emirates,,,,,301.0,15
227,227,227,RJ Campbell,Ryan John Campbell,Hong Kong,Right-hand bat,Right-arm Offspin,Wicketkeeper,46 years 2 days,1.79 m ,Wicketkeeper batsman,"February 7, 1972, Osborne Park, Perth, Western Australia ",,,,"['Australia', 'Hong Kong', ""ACB Chairman's XI"", 'Ahmedabad Rockets', 'Australia A', ""Australian Prime Minister's Invitation XI"", 'Commonwealth Bank Cricket Academy', 'Western Australia', 'Western Australia Second XI']",,,,,36.0,3
228,228,228,JN Snape,Jeremy Nicholas Snape,England,Right-hand bat,Right-arm Offspin,,44 years 288 days,5 ft 8 in ,,"April 27, 1973, Stoke-on-Trent, Staffordshire ",,,"Denstone College, Durham University","['England', 'Combined Universities', 'Gloucestershire', 'Leicestershire', 'Northamptonshire']",Snapey,,,,7.0,1
229,229,229,JW Hastings,John Wayne Hastings,Australia,Right-hand bat,Right-arm Fast,,32 years 97 days,1.95 m ,Allrounder,"November 4, 1985, Penrith, New South Wales ",,,,"['Australia', 'Australia A', 'Chennai Super Kings', 'Durham', 'Kochi Tuskers Kerala', 'Kolkata Knight Riders', 'Melbourne Stars', 'New South Wales Second XI', 'New South Wales Under-17s', 'New South Wales Under-19s', 'Victoria']",The Duke,,,,46.0,9
230,230,230,JDP Oram,Jacob David Philip Oram,New Zealand,Left-hand bat,Right-arm Fast,,39 years 196 days,1.98 m ,Allrounder,"July 28, 1978, Palmerston North, Manawatu ",,,,"['New Zealand', 'Central Districts', 'Chennai Super Kings', 'Chittagong Kings', 'Gazi Tank Cricketers', 'Mumbai Indians', 'Rajasthan Royals', 'Uva Next']",,,,,474.0,36
231,231,231,JM Kemp,Justin Miles Kemp,South Africa,Right-hand bat,Right-arm Fast,,40 years 130 days,,,"October 2, 1977, Queenstown, Cape Province ",Kempie,,,"['South Africa', 'Africa XI', 'Antigua Hawksbills', 'Cape Cobras', 'Chennai Super Kings', 'Eastern Province', 'Hyderabad Heroes', 'Kent', 'Northerns', 'Titans', 'Western Province']",,,"['Grandfather - JM Kemp', 'Father - JW Kemp', 'Cousin - DJ Callaghan']",,203.0,7
232,232,232,Imran Haider,Imran Haider,United Arab Emirates,Right-hand bat,Legbreak,,30 years 101 days,,Bowler,"October 31, 1987, Lahore ",,,,United Arab Emirates,,,,,0.0,5
233,233,233,MJ McClenaghan,Mitchell John McClenaghan,New Zealand,Left-hand bat,Left-arm Fast,,31 years 243 days,,Bowler,"June 11, 1986, Hastings, Hawke's Bay ",,,,"['New Zealand', 'Auckland', 'Central Districts', 'Lancashire', 'Middlesex', 'Mumbai Indians', 'New Zealand A', 'St Lucia Stars', 'Sydney Thunder']",,,,,14.0,28
234,234,234,M Klinger,Michael Klinger,Australia,Right-hand bat,Not Specified,,37 years 220 days,1.79 m ,Batsman,"July 4, 1980, Kew, Melbourne, Victoria ",,,,"['Australia', 'Adelaide Strikers', 'Australia A', 'Gloucestershire', 'Gloucestershire 2nd XI', 'Kochi Tuskers Kerala', 'Perth Scorchers', 'South Australia', 'Victoria', 'Western Australia', 'Worcestershire']",Maxy,,,,143.0,3
235,235,235,JP Duminy,Jean-Paul Duminy,South Africa,Left-hand bat,Right-arm Offspin,,33 years 301 days,,Batting allrounder,"April 14, 1984, Strandfontein, Cape Town, Cape Province ",,,,"['South Africa', 'Cape Cobras', 'Deccan Chargers', 'Delhi Daredevils', 'Devon', 'Mumbai Indians', 'South Africa Under-19s', 'Sunrisers Hyderabad', 'Surrey', 'Western Province', 'Western Province Boland']",,,,,1683.0,68
236,236,236,Nadif Chowdhury,Nadif Chowdhury,Bangladesh,Right-hand bat,Left-arm Orthodox,,30 years 294 days,,Batsman,"April 21, 1987, Manikgonj ",,,,"['Bangladesh', 'Bangladesh A', 'Bangladesh Under-19s', 'Barisal Division', 'Dhaka Division', 'Victoria Sporting Club']",,,,,17.0,2
237,237,237,LRPL Taylor,Luteru Ross Poutoa Lote Taylor,New Zealand,Right-hand bat,Right-arm Offspin,,33 years 338 days,,Middle-order batsman,"March 8, 1984, Lower Hutt, Wellington ",,,,"['New Zealand', 'Australian Capital Territory', 'Central Districts', 'Central Districts Under-19s', 'Delhi Daredevils', 'Durham', 'New Zealand Emerging Players', 'New Zealand Under-19s', 'Pune Warriors', 'Rajasthan Royals', 'Royal Challengers Bangalore', 'St Lucia Zouks', 'Sussex', 'Trinidad & Tobago Red Steel', 'Victoria']",,,,,1256.0,65
238,238,238,DT Johnston,David Allan Johnston,Ireland,Right-hand bat,Right-arm Fast,,63 years 57 days,,,"December 14, 1954, Melbourne, Victoria ",,,,South Australia,,Administrator,Father - WA Johnston,,211.0,23
239,239,239,M Ntini,Makhaya Ntini,South Africa,Right-hand bat,Right-arm Fast,,40 years 218 days,,,"July 6, 1977, Mdingi, nr King William's Town, Cape Province ",George,,,"['South Africa', 'Border', 'Chennai Super Kings', 'ICC World XI', 'Kent', 'Warriors', 'Warwickshire']",,,,,10.0,10
240,240,240,TM Dowlin,Travis Montague Dowlin,West Indies,Right-hand bat,Right-arm Offspin,,40 years 350 days,,Batsman,"February 24, 1977, Guyhock Gardens, Georgetown, Demerara, Guyana ",,,,"['West Indies', 'Guyana', 'Stanford Superstars', 'West Indies A']",,,,,68.0,2
241,241,241,Shakib Al Hasan,Shakib Al Hasan,Bangladesh,Left-hand bat,Left-arm Orthodox,,30 years 322 days,,Allrounder,"March 24, 1987, Magura, Jessore ",Saqibul Hasan,,,"['Bangladesh', 'Adelaide Strikers', 'Bangladesh A', 'Bangladesh Cricket Board XI', 'Barbados Tridents', 'Dhaka Gladiators', 'Jamaica Tallawahs', 'Karachi Kings', 'Khulna Division', 'Kolkata Knight Riders', 'Peshawar Zalmi', 'Worcestershire']",,,,,1137.0,54
242,242,242,JD Ryder,Jesse Daniel Ryder,New Zealand,Left-hand bat,Right-arm Medium,,33 years 187 days,,Allrounder,"August 6, 1984, Masterton, Wellington ",,,Napier Boys High,"['Ireland', 'New Zealand', 'Central Districts', 'Essex', 'New Zealand A', 'New Zealand Under-19s', 'Otago', 'Pune Warriors', 'Royal Challengers Bangalore', 'St Lucia Stars', 'Wellington']",,,,,457.0,21
243,243,243,MRJ Watt,Mark Robert James Watt,Scotland,Left-hand bat,Left-arm Orthodox,,21 years 195 days,,Bowler,"July 29, 1996, Eastern General Hospital, Edinburgh ",,,,"['Scotland', 'Scotland XI', 'Highlanders', 'Scotland A', 'Scotland Under-19s']",,,,,31.0,14
244,244,244,GH Dockrell,George Henry Dockrell,Ireland,Right-hand bat,Left-arm Orthodox,,25 years 202 days,,Bowler,"July 22, 1992, Dublin ",,,,"['Ireland', 'Ireland Under-13s', 'Ireland Under-15s', 'Ireland Under-19s', 'Somerset', 'Somerset 2nd XI']",,,,,78.0,37
245,245,245,TP Visee,Tobias Pepijn Visee,Netherlands,Right-hand bat,Not Specified,,27 years 19 days,,Batsman,"January 21, 1991, The Hague ",,,,"['Netherlands', 'Netherlands Under-15s', 'Netherlands Under-17s', 'Netherlands Under-19s']",,,,,4.0,3
246,246,246,AA Noffke,Ashley Allan Noffke,Australia,Right-hand bat,Right-arm Fast,,40 years 285 days,1.90 m ,Allrounder,"April 30, 1977, Nambour, Queensland ",,,,"['Australia', 'Australia A', 'Australian Centre of Excellence', 'Australian Cricket Academy', 'Durham', 'Gloucestershire', 'Middlesex', ""Prime Minister's XI"", 'Queensland', 'Queensland Academy of Sport', 'Queensland Country', 'Queensland XI', 'Royal Challengers Bangalore', 'Sunshine Coast', 'Western Australia', 'Worcestershire']",Noffers,,,,0.0,2
247,247,247,Raza Hasan,Raza Hasan,Pakistan,Right-hand bat,Left-arm Orthodox,,25 years 216 days,,Bowler,"July 8, 1992, Sialkot, Punjab ",Raza Hassan,,,"['Pakistan', 'National Bank of Pakistan', 'Pakistan A', 'Pakistan Customs', 'Pakistan Under-19s', 'Pakistan Under-23s', 'Punjab Stallions', 'Rawalpindi Rams', 'Sialkot Stallions', 'Sialkot Under-19s', 'Sui Northern Gas Pipelines Limited', 'Zarai Taraqiati Bank Limited']",,,,,18.0,10
248,248,248,Sabbir Rahman,Mohammad Sabbir Rahman,Bangladesh,Right-hand bat,Legbreak,,26 years 79 days,,Middle-order batsman,"November 22, 1991, Rajsahi ",,,,"['Bangladesh', 'Bangladesh A', 'Bangladesh Cricket Board Academy', 'Bangladesh Under-19s', 'Bangladesh Under-23s', 'Barisal Burners', 'Barisal Division', 'Rajshahi Division', 'Sylhet Sixers']",Rumon,,,,721.0,31
249,249,249,YS Chahal,Yuzvendra Singh Chahal,India,Right-hand bat,Legbreak,,27 years 201 days,,Bowler,"July 23, 1990, Jind, Haryana ",,,,"['India', 'Haryana', 'Mumbai Indians', 'Royal Challengers Bangalore']",,,,,0.0,6
250,250,250,BE Hendricks,Beuran Eric Hendricks,South Africa,Left-hand bat,Left-arm Fast,,27 years 246 days,,Bowler,"June 8, 1990, Louis Leipoldt Hospital, Bellville, Cape Town ",,,,"['South Africa', 'Cape Cobras', 'Impi', 'Kings XI Punjab', 'South Africa A', 'Western Province', 'Western Province Under-19s']",,,,,15.0,5
251,251,251,V Shetty,Vikrant Shetty,United Arab Emirates,Right-hand bat,Right-arm Offspin,,34 years 115 days,,Middle-order batsman,"October 17, 1983, Mumbai, India ",,,,"['United Arab Emirates', 'Emirates Cricket Board']",,,,,11.0,2
252,252,252,Mehedi Hasan Miraz,Mehidy Hasan Miraz,Bangladesh,Right-hand bat,Right-arm Offspin,,20 years 107 days,,Allrounder,"October 25, 1997, Khulna ",,,,"['Bangladesh', 'Bangladesh Under-19s', 'Kalabagan Cricket Academy', 'Rajshahi Kings', 'Trinbago Knight Riders']",Miraz,,,,0.0,1
253,253,253,DJ Hussey,David John Hussey,Australia,Right-hand bat,Right-arm Offspin,,40 years 209 days,1.80 m ,Allrounder,"July 15, 1977, Mt Lawley, Perth, Western Australia ",,,,"['Australia', 'Antigua Hawksbills', 'Australia A', 'Chennai Super Kings', 'Kings XI Punjab', 'Kolkata Knight Riders', 'Melbourne Stars', 'Northern Districts', 'Nottinghamshire', 'Sussex Cricket Board', 'Victoria']",Huss,,Brother - MEK Hussey,,756.0,37
254,254,254,M Pushpakumara,Pawuluge Malinda Pushpakumara,Sri Lanka,Right-hand bat,Left-arm Orthodox,,30 years 322 days,5 ft 7 in ,Allrounder,"March 24, 1987, Colombo ",,,"Lumbini College, Colombo","['Sri Lanka', 'Chilaw Marians Cricket Club', 'Lumbini College', 'Moors Sports Club', 'Saracens Sports Club', 'Singha Sports Club', 'Sri Lanka A', 'Sri Lanka Ports Authority Cricket Club', 'Sri Lanka Under-15s', 'Sri Lanka Under-19s']",,,,,0.0,1
255,255,255,CR Foggo,Christopher Ray Foggo,Bermuda,Right-hand bat,Not Specified,,35 years 278 days,,Batsman,"May 7, 1982, Hamilton, Bermuda ",Soshie,,,"['Bermuda', 'Americas Under-19s']",,,,,6.0,1
256,256,256,A Poulose,Arun Poulose Manavalan,Oman,Right-hand bat,Right-arm Medium,,31 years 202 days,,,"July 22, 1986, Aluva, Ernakulam, Kerala ",,,,Kerala,,,,,9.0,3
257,257,257,TGJ Gruijters,Timothy George Johannus Gruijters,Netherlands,Right-hand bat,Right-arm Medium,,26 years 165 days,,Top-order batsman,"August 28, 1991, The Hague ",,,,"['Netherlands', 'Netherlands Under-13s', 'Netherlands Under-15s', 'Netherlands Under-17s', 'Netherlands Under-19s']",,,Brother - JFM Gruijters,,40.0,7
258,258,258,Irfan Ahmed,Irfan Ahmed,Hong Kong,Right-hand bat,Right-arm Fast,,28 years 81 days,,Allrounder,"November 20, 1989, Bahawalpur ",,,,"['Hong Kong', 'Hong Kong Under-19s', 'Little Sai Wan Cricket Club']",Irfi,,Brother - Nadeem Ahmed,,76.0,8
259,259,259,S Vesawkar,Sharad Vesawkar,Nepal,Right-hand bat,Right-arm Offspin,,29 years 126 days,,Middle-order batsman,"October 6, 1988, United Arab Emirates ",,,,"['Nepal', 'Nepal Under-19s']",,,,,177.0,8
260,260,260,NO Miller,Nikita O'Brien Miller,West Indies,Right-hand bat,Left-arm Orthodox,,35 years 269 days,,Bowler,"May 16, 1982, St. Elizabeth, Jamaica ",,,,"['West Indies', 'Jamaica', 'Jamaica Select XI', 'Jamaica Tallawahs', 'Trinbago Knight Riders', 'West Indies A']",,,,,43.0,9
261,261,261,L Ronchi,Luke Ronchi,New Zealand,Right-hand bat,Not Specified,Wicketkeeper,36 years 292 days,1.80 m ,Wicketkeeper batsman,"April 23, 1981, Dannevirke, Manawatu, New Zealand ",,,,"['Australia', 'New Zealand', 'Australia A', 'Guyana Amazon Warriors', 'Hampshire Cricket Board', 'Mumbai Indians', 'New Zealand A', 'New Zealand XI', 'Perth Scorchers', 'Wellington', 'Western Australia']",Rock,,,,359.0,25
262,262,262,JS Patel,Jeetan Shashi Patel,New Zealand,Right-hand bat,Right-arm Offspin,,37 years 278 days,,,"May 7, 1980, Wellington ",,,,"['New Zealand', 'Warwickshire', 'Wellington']",,,,,9.0,10
263,263,263,MM Sharma,Mohit Mahipal Sharma,India,Right-hand bat,Right-arm Medium,,29 years 144 days,,Bowler,"September 18, 1988, Ballabhgarh, Haryana ",,,,"['India', 'Chennai Super Kings', 'Haryana', 'Kings XI Punjab']",,,,,3.0,8
264,264,264,SKW Kelly,Matthew Kelly,Bermuda,Right-hand bat,Right-arm Medium,,23 years 64 days,,,"December 7, 1994, Claremont, Western Australia ",,,,"['Australia Under-19s', 'Perth Scorchers']",,,,,0.0,1
265,265,265,AJ Hall,Andrew James Hall,South Africa,Right-hand bat,Right-arm Fast,,42 years 193 days,,,"July 31, 1975, Johannesburg, Transvaal ",,,Hoerskool Alberton,"['South Africa', 'Africa XI', 'Chandigarh Lions', 'Dolphins', 'Durham Cricket Board', 'Easterns', 'Gauteng', 'ICL World XI', 'Kent', 'Mashonaland Eagles', 'Northamptonshire', 'Suffolk', 'Transvaal', 'Worcestershire']",,,,,11.0,2
266,266,266,RR Sarwan,Ramnaresh Ronnie Sarwan,West Indies,Right-hand bat,Legbreak,,37 years 231 days,,Batsman,"June 23, 1980, Wakenaam Island, Essequibo, Guyana ",,,,"['West Indies', 'Gloucestershire', 'Guyana', 'Guyana Amazon Warriors', 'Kings XI Punjab', 'Leicestershire', 'Stanford Superstars', 'Trinbago Knight Riders']",,,,,298.0,16
267,267,267,Anamul Haque,Mohammad Anamul Haque Bijoy,Bangladesh,Right-hand bat,Not Specified,Wicketkeeper,25 years 55 days,,Wicketkeeper batsman,"December 16, 1992, Kushtia, Khulna ",,,,"['Bangladesh', 'Bangladesh Cricket Board Academy', 'Bangladesh Under-19s', 'Dhaka Division', 'Dhaka Gladiators', 'Gazi Group Cricketers', 'Khulna Division', 'Quetta Gladiators', 'South Zone (Bangladesh)']",,,,,355.0,13
268,268,268,Jatinder Singh,Jatinder Singh,Oman,Right-hand bat,Right-arm Offspin,,28 years 341 days,,Batsman,"March 5, 1989, Ludhiana, Punjab ",,,,"['Oman', 'Oman Under-19s']",Jati,,,,190.0,10
269,269,269,AS Dean,Travis Jeffrey Dean,Canada,Right-hand bat,Not Specified,,26 years 8 days,,,"February 1, 1992, Williamstown, Victoria ",,,,"['Australia Under-19s', 'Footscray-Edgewater', 'Victoria', 'Victoria Under-17s', 'Victoria Under-23s']",,,,,1.0,1
270,270,270,LA Dawson,Liam Andrew Dawson,England,Right-hand bat,Left-arm Orthodox,,27 years 345 days,5 ft 8 in ,Bowler,"March 1, 1990, Swindon, Wiltshire ",,,John Bentley School,"['England', 'England Lions', 'England Under-19s', 'Hampshire', 'Hampshire 2nd XI', 'Mountaineers', 'Prime Bank Cricket Club', 'Rangpur Riders']","Daws, Lemmy",,Brother - BC Dawson,,7.0,4
271,271,271,NLTC Perera,Narangoda Liyanaarachchilage Thisara Chirantha Perera,Sri Lanka,Left-hand bat,Right-arm Fast,,28 years 312 days,6 ft 1 in ,Allrounder,"April 3, 1989, Colombo ",,,"St. Joseph's College, Maradana","['Sri Lanka', 'Chennai Super Kings', 'Colts Cricket Club', 'Gloucestershire', 'Guyana Amazon Warriors', 'Kings XI Punjab', 'Kochi Tuskers Kerala', 'Melbourne Renegades', 'Mumbai Indians', 'Quetta Gladiators', 'Rising Pune Supergiants', 'Sri Lanka A', 'Sri Lanka Under-19s', 'St Kitts and Nevis Patriots', 'Sunrisers Hyderabad', 'Wayamba', 'World-XI']",,,,,654.0,54
272,272,272,Mohammad Hafeez,Mohammad Hafeez,Pakistan,Right-hand bat,Right-arm Offspin,,37 years 115 days,,Allrounder,"October 17, 1980, Sargodha, Punjab ",,,,"['Pakistan', 'Faisalabad', 'Faisalabad Wolves', 'Guyana Amazon Warriors', 'Kolkata Knight Riders', 'Lahore Lions', 'Melbourne Stars', 'Peshawar Zalmi', 'Sargodha', 'St Kitts and Nevis Patriots', 'Sui Northern Gas Pipelines Limited']",,,,,1594.0,77
273,273,273,Jahurul Islam,Mohammad Jahurul Islam,Bangladesh,Right-hand bat,Right-arm Offspin,Wicketkeeper,31 years 59 days,,Middle-order batsman,"December 12, 1986, Rajshahi ",,,,"['Bangladesh', 'Bangladesh A', 'BCB Development Squad', 'Dhaka Division', 'Duronto Rajshahi', 'North Zone (Bangladesh)', 'Rajshahi Division']",Aumi,,,,31.0,3
274,274,274,AD Poynter,Andrew David Poynter,Ireland,Right-hand bat,Right-arm Offspin,,30 years 290 days,,Batsman,"April 25, 1987, Hammersmith, London ",,,,"['Ireland', 'Ireland A', 'Ireland Under-19s', 'Middlesex']",,,"['Uncle - DA Vincent', 'Brother - SW Poynter']",,194.0,10
275,275,275,Najeeb Amar,Najeeb Amar,Hong Kong,Left-hand bat,Left-arm Orthodox,,46 years 137 days,,Allrounder,"September 25, 1971, Dera Ghazi Khan, Punjab ",,,,"['Hong Kong', 'Water and Power Development Authority']",,,,,2.0,1
276,276,276,Yasir Shah,Yasir Shah,Pakistan,Right-hand bat,Legbreak,,31 years 283 days,,Bowler,"May 2, 1986, Swabi, North-West Frontier Province (now Khyber Pakhtunkhwa) ",,,,"['Pakistan', 'Abbottabad Rhinos', 'Brisbane Heat', 'Khyber-Pakhtunkhwa Province', 'Pakistan A', 'Pakistan Customs', 'Rest of North West Frontier Province', 'Sui Northern Gas Pipelines Limited', 'Trinbago Knight Riders']",,,,,11.0,2
277,277,277,Tanveer Ahmed,Tanvir Ahmed,Hong Kong,Right-hand bat,Right-arm Fast,,39 years 51 days,,Bowler,"December 20, 1978, Kuwait City, Kuwait ",,,,"['Pakistan', 'Allied Bank', 'Baluchistan', 'Baluchistan Bears', 'Karachi', 'Karachi Blues', 'Port Qasim Authority', 'Public Works Department']",,,,,7.0,5
278,278,278,RS Morton,Runako Shakur Morton,West Indies,Right-hand bat,Right-arm Medium,,,,Batsman,"July 22, 1978, Nevis ",,"March 4, 2012, Chase Village, Trinidad (aged 33 years 226 days) ",,"['West Indies', 'Leeward Islands', 'Nevis', 'Trinidad & Tobago']",,,,,96.0,7
279,279,279,AM Ellis,Andrew Malcolm Ellis,New Zealand,Right-hand bat,Right-arm Fast,,35 years 322 days,,Allrounder,"March 24, 1982, Christchurch, Canterbury ",,,,"['New Zealand', 'Canterbury', 'New Zealand A']",,,,,25.0,5
280,280,280,UT Yadav,Umeshkumar Tilak Yadav,India,Right-hand bat,Right-arm Fast,,30 years 107 days,,Bowler,"October 25, 1987, Nagpur, Maharashtra ",,,,"['India', 'Delhi Daredevils', 'Kolkata Knight Riders', 'Vidarbha']",,,,,0.0,1
281,281,281,WU Tharanga,Warushavithana Upul Tharanga,Sri Lanka,Left-hand bat,Not Specified,Occasional wicketkeeper,33 years 7 days,,Batsman,"February 2, 1985, Balapitiya ",,,,"['Sri Lanka', 'Asia XI', 'Kandurata Maroons', 'Mohammedan Sporting Club', 'Nondescripts Cricket Club', 'Ruhuna', 'Singha Sports Club', 'Sri Lanka A', ""Sri Lanka Board President's XI"", 'Sri Lanka Board XI', 'Sylhet Sixers']",,,,,216.0,16
282,282,282,CJ Ferguson,Callum James Ferguson,Australia,Right-hand bat,Right-arm Medium,,33 years 80 days,1.80 m ,Middle-order batsman,"November 21, 1984, North Adelaide, South Australia ",,,"Black Friars Priory School, Prospect; Marryatville High School, Kensington","['Australia', 'Adelaide Strikers', 'Australia A', 'Melbourne Renegades', 'Pune Warriors', 'South Australia', 'Sydney Thunder']",Ferg,,,,16.0,3
283,283,283,SM Katich,Simon Mathew Katich,Australia,Left-hand bat,Left-arm Chinaman,,42 years 172 days,1.82 m ,Batsman,"August 21, 1975, Middle Swan, Western Australia ",,,,"['Australia', 'Derbyshire', 'Durham', 'Duronto Rajshahi', 'Hampshire', 'Kings XI Punjab', 'Lancashire', 'New South Wales', 'Perth Scorchers', 'Western Australia', 'Yorkshire']",Kat,,,,69.0,2
284,284,284,CR Brathwaite,Carlos Ricardo Brathwaite,West Indies,Right-hand bat,Right-arm Fast,,29 years 206 days,,Allrounder,"July 18, 1988, Barbados ",,,,"['West Indies', 'Antigua Hawksbills', 'Barbados', 'Barbados Tridents', 'Barbados Under-19s', 'Combined Campuses and Colleges', 'Delhi Daredevils', 'Sagicor High Performance Centre', 'St Kitts and Nevis Patriots', 'Sydney Sixers', 'Sydney Thunder', 'West Indies A']",,,,,193.0,21
285,285,285,U Bhatti,Bilawal Bhatti,Canada,Right-hand bat,Right-arm Fast,,26 years 145 days,5 ft 6 in ,Bowler,"September 17, 1991, Muridke, Punjab ",,,,"['Pakistan', 'Gujranwala Cricket Association Under-19s', 'Karachi Kings', 'Pakistan Under-23s', 'Sialkot', 'Sialkot Stallions', 'Sialkot Under-19s', 'State Bank of Pakistan', 'Sui Northern Gas Pipelines Limited']",,,,,19.0,2
286,286,286,T Taibu,Tatenda Taibu,Zimbabwe,Right-hand bat,Right-arm Medium,Wicketkeeper,34 years 271 days,5 ft 5 in ,Wicketkeeper batsman,"May 14, 1983, Harare ",Tibbly,,Churchill Boys High School,"['Namibia', 'Zimbabwe', 'Africa XI', 'Cape Cobras', 'Kolkata Knight Riders', 'Mashonaland', 'Mashonaland A', 'Mountaineers', 'Northerns (Zimbabwe)', 'Southern Rocks']",,,Brother - KJ Taibu,,165.0,11
287,287,287,Abul Hasan,Mohammed Abul Hasan,Bangladesh,Left-hand bat,Right-arm Fast,,25 years 188 days,,Bowler,"August 5, 1992, Kulaura, Sylhet ",,,,"['Bangladesh', 'Bangladesh Under-19s', 'Duronto Rajshahi', 'East Zone (Bangladesh)', 'Sylhet Division', 'Sylhet Royals', 'Sylhet Sixers']",Raju,,,,0.0,2
288,288,288,HJH Marshall,Hamish John Hamilton Marshall,New Zealand,Right-hand bat,Right-arm Medium,,38 years 359 days,,Batsman,"February 15, 1979, Warkworth, Auckland ",,,,"['New Zealand', 'Buckinghamshire', 'Gloucestershire', 'Northern Districts', 'Royal Bengal Tigers']",,,Twin brother - JAH Marshall,,12.0,3
289,289,289,JA Richardson,Jhye Avon Richardson,Australia,Right-hand bat,Right-arm Fast,,21 years 142 days,,Bowler,"September 20, 1996, Murdoch, Western Australia ",,,,"['Australia', 'Australia Under-19s', 'Perth Scorchers', 'Western Australia']",,,,,0.0,2
290,290,290,DR Flynn,Daniel Raymond Flynn,New Zealand,Left-hand bat,Left-arm Slow,,32 years 299 days,,Middle-order batsman,"April 16, 1985, New Zealand ",,,,"['New Zealand', 'New Zealand A', 'New Zealand Under-19s', 'Northern Districts']",,,,,59.0,5
291,291,291,J Charles,Johnson Charles,West Indies,Right-hand bat,Not Specified,Wicketkeeper,29 years 26 days,,Wicketkeeper batsman,"January 14, 1989, St Lucia ",,,,"['West Indies', 'Antigua Hawksbills', 'St Lucia', 'St Lucia Zouks', 'West Indies A', 'Windward Islands']",,,,,724.0,33
292,292,292,LS Livingstone,Liam Stephen Livingstone,England,Right-hand bat,Legbreak,,24 years 189 days,,,"August 4, 1993, Barrow-in-Furness, Cumberland ",,,,"['England', 'Cumberland', 'England A', 'Lancashire', 'Lancashire 2nd XI']",,,,,16.0,2
293,293,293,DE Bollinger,Douglas Erwin Bollinger,Australia,Left-hand bat,Left-arm Fast,,36 years 200 days,1.92 m ,Bowler,"July 24, 1981, Baulkham Hills, Sydney, New South Wales ",,,,"['Australia', 'Australia A', 'Chennai Super Kings', 'Hobart Hurricanes', 'New South Wales', 'Sydney Sixers', 'Sydney Thunder', 'Worcestershire']",Eagle,,,,1.0,9
294,294,294,B Fernando,Binura Fernando,Sri Lanka,Right-hand bat,Left-arm Fast,,22 years 212 days,6 ft 6 in ,Bowler,"July 12, 1995, Colombo ",,,"DS Senanayake College, Colombo","['Sri Lanka', 'Ruhuna Reds', 'Sinhalese Sports Club', 'Sri Lanka A', 'Sri Lanka Under-19s']",,,,,8.0,2
