,Unnamed: 0,PlayerId,PlayerName,Full name,Team,Batting style,Bowling style,Fielding position,Current age,Height,Playing role,Born,Also known as,Died,Education,Major teams,Nickname,Other,Relation,In a nutshell,TotalRuns,MatchesPlayed
52,52,52,Shakeel Ansar,Shakeel Ansar,Pakistan,Right-hand bat,Not Specified,Wicketkeeper,39 years 89 days,,Wicketkeeper batsman,"November 11, 1978, Sialkot, Punjab ",,,,"['Pakistan', 'Gujranwala', 'Pakistan Customs', 'Sheikhupura', 'Sialkot', 'Sialkot Stallions', 'Sui Northern Gas Pipelines Limited', 'Zarai Taraqiati Bank Limited']",,,,,0.0,1
53,53,53,Mandeep Singh,Mandeep Singh,India,Right-hand bat,Right-arm Medium,,26 years 52 days,,Allrounder,"December 18, 1991, Jalandhar, Punjab ",,,,"['India', 'India A', 'India Under-19s', 'Kings XI Punjab', 'Kolkata Knight Riders', 'North Zone', 'Punjab', 'Punjab Under-19s', 'Royal Challengers Bangalore']",,,,,87.0,3
54,54,54,KW Richardson,Kane William Richardson,Australia,Right-hand bat,Right-arm Fast,,26 years 361 days,,Bowler,"February 12, 1991, Eudunda, South Australia ",,,,"['Australia', 'Adelaide Strikers', 'Australia A', 'Australia Under-19s', 'East Torrens', 'Northern Territory', 'Northern Territory Under-19s', 'PINT Cricket Club', 'Pune Warriors', 'Rajasthan Royals', 'Royal Challengers Bangalore', 'South Australia', 'South Australia Under-19s', 'South Australia Under-23s', 'Waratahs (Dalby)', 'Woodville']",,,Brother - CJ Richardson,,9.0,3
55,55,55,CS Martin,Christopher Stewart Martin,New Zealand,Right-hand bat,Right-arm Fast,,43 years 60 days,,Bowler,"December 10, 1974, Christchurch, Canterbury ",,,,"['New Zealand', 'Auckland', 'Canterbury', 'Warwickshire']",,,,,5.0,6
56,56,56,Abdul Shakoor,Abdul Shakoor Bangash,United Arab Emirates,Right-hand bat,Not Specified,Wicketkeeper,32 years 330 days,,Opening batsman,"March 15, 1985, Kohat, Pakistan ",,,,United Arab Emirates,,,,,28.0,3
57,57,57,RW Price,Raymond William Price,Zimbabwe,Right-hand bat,Left-arm Orthodox,,41 years 241 days,,Bowler,"June 12, 1976, Salisbury (now Harare) ",,,,"['Zimbabwe', 'Mashonaland Country Districts', 'Mashonaland Eagles', 'Midlands', 'Mumbai Indians', 'Northerns (Zimbabwe)', 'Worcestershire', 'Zimbabwe XI']",,,,,14.0,12
58,58,58,H Hiri,Hiri Hiri,Papua New Guinea,Right-hand bat,Right-arm Offspin,,22 years 283 days,,,"May 1, 1995 ",,,,Papua New Guinea Under-19s,,,,,1.0,1
59,59,59,AD Hales,Alexander Daniel Hales,England,Right-hand bat,Right-arm Medium,Occasional wicketkeeper,29 years 36 days,6 ft 5 in ,Opening batsman,"January 3, 1989, Hillingdon, Middlesex ",,,,"['England', 'Buckinghamshire', 'Duronto Rajshahi', 'England Lions', 'Melbourne Renegades', 'Mumbai Indians', 'Nottinghamshire', 'Nottinghamshire 2nd XI', 'Worcestershire']",,,,,1340.0,47
60,60,60,BJ McCarthy,Barry John McCarthy,Ireland,Right-hand bat,Right-arm Medium,,25 years 148 days,,Bowler,"September 13, 1992 ",,,,"['Durham', 'Durham 2nd XI', 'Ireland Under-15s', 'Ireland Under-19s']",,,Sister - LN McCarthy,,0.0,2
61,61,61,Waqas Khan,Waqas Khan,Hong Kong,Right-hand bat,Right-arm Fast,,18 years 335 days,,Batsman,"March 10, 1999 ",,,,"['Hong Kong', 'Hong Kong Under-19s']",,,Brother - Sarfaraz Khan,,68.0,7
62,62,62,J Edness,J Edness,Bermuda,,Not Specified,,,,,date unknown ,,,,Bermuda Women,,,,,0.0,1
63,63,63,RWT Key,Robert William Trevor Key,England,Right-hand bat,Right-arm Offspin,,38 years 272 days,6 ft 1 in ,,"May 12, 1979, East Dulwich, London ",,,Langley Park Boys' School,"['England', 'Kent', 'Marylebone Cricket Club']",Keysy,,,,10.0,1
64,64,64,Q de Kock,Quinton de Kock,South Africa,Left-hand bat,Not Specified,Wicketkeeper,25 years 53 days,,Wicketkeeper batsman,"December 17, 1992, Johannesburg, Gauteng ",,,,"['South Africa', 'Delhi Daredevils', 'Easterns', 'Gauteng', 'Gauteng Under-19s', 'Lions', 'South Africa Under-19s', 'Sunrisers Hyderabad', 'Titans']",,,,,742.0,30
65,65,65,Abdul Razzaq,Abdul Razzaq,Pakistan,Right-hand bat,Right-arm Fast,,38 years 68 days,,Allrounder,"December 2, 1979, Lahore, Punjab ",Abdur Razzaq,,,"['Pakistan', 'Asia XI', 'Duronto Rajshahi', 'Hampshire', 'Hampshire 2nd XI', 'Hyderabad Heroes', 'ICL Pakistan XI', 'Khan Research Labs', 'Lahore', 'Lahore Lions', 'Lahore Qalandars', 'Leicestershire', 'Melbourne Renegades', 'Middlesex', 'Pakistan International Airlines', 'Surrey', 'Worcestershire', 'Zarai Taraqiati Bank Limited']",,,,,383.0,30
66,66,66,VS Wategaonkar,Vaibhav Shridhar Wategaonkar,Oman,Left-hand bat,Not Specified,,35 years 162 days,,,"August 30, 1982, Mumbai, India ",,,,Oman,,,,,14.0,1
67,67,67,T Shamsi,Tabraiz Shamsi,South Africa,Right-hand bat,Left-arm Chinaman,,27 years 355 days,,Bowler,"February 18, 1990, Johannesburg, Gauteng ",,,,"['South Africa', 'Dolphins', 'Easterns', 'Gauteng', 'Gauteng Under-19s', 'KwaZulu-Natal', 'KwaZulu-Natal Inland', 'Lions', 'Royal Challengers Bangalore', 'South Africa A', 'St Kitts and Nevis Patriots', 'Titans']",,,,,0.0,2
68,68,68,DBL Powell,Daren Brent Lyle Powell,West Indies,Right-hand bat,Right-arm Fast,,39 years 299 days,,,"April 15, 1978, Jamaica ",,,,"['West Indies', 'Gauteng', 'Hampshire', 'Jamaica', 'Lancashire', 'Lancashire 2nd XI', 'Stanford Superstars']",,,,,1.0,5
69,69,69,MN Samuels,Marlon Nathaniel Samuels,West Indies,Right-hand bat,Right-arm Offspin,,37 years 3 days,,Top-order batsman,"February 5, 1981, Kingston, Jamaica ",,,,"['West Indies', 'Antigua Hawksbills', 'Comilla Victorians', 'Delhi Daredevils', 'Duronto Rajshahi', 'Jamaica', 'Leeward Islands', 'Melbourne Renegades', 'Peshawar Zalmi', 'Pune Warriors', 'St Kitts and Nevis Patriots', 'St Lucia Stars']",,,Brother - RG Samuels,,1459.0,58
70,70,70,PD Collingwood,Paul David Collingwood,England,Right-hand bat,Right-arm Medium,,41 years 258 days,5 ft 11 in ,Allrounder,"May 26, 1976, Shotley Bridge, Co Durham ",,,Blackfyne Comprehensive School,"['England', 'Delhi Daredevils', 'Durham', 'Impi', 'Perth Scorchers', 'Rajasthan Royals', 'World-XI']",Colly,,,,583.0,35
71,71,71,L Tucker,Lorcan Tucker,Ireland,Right-hand bat,Not Specified,Wicketkeeper,21 years 151 days,,Wicketkeeper batsman,"September 10, 1996, Ireland ",,,,"['Ireland', 'Ireland Under-19s', 'Leinster']",,,,,43.0,4
72,72,72,JP Faulkner,James Peter Faulkner,Australia,Right-hand bat,Left-arm Fast,,27 years 285 days,1.86 m ,Bowling allrounder,"April 29, 1990, Launceston, Tasmania ",,,,"['Australia', 'Australia A', 'Australia Under-19s', 'Gujarat Lions', 'Kings XI Punjab', 'Lancashire', 'Launceston', 'Melbourne Stars', 'Pune Warriors', 'Rajasthan Royals', 'Tasmania', 'Tasmania Second XI', 'Tasmania Under-19s']",,,Father - PI Faulkner,,159.0,24
73,73,73,T Maruma,Timycen Maruma,Zimbabwe,Right-hand bat,Legbreak,,29 years 295 days,,Top-order batsman,"April 19, 1988, Harare ",,,,"['Zimbabwe', 'Easterns (Zimbabwe)', 'Manicaland', 'Mountaineers']",,,Brother - TP Maruma,,72.0,7
74,74,74,L Siaka,Lega Siaka,Papua New Guinea,Right-hand bat,Right-arm Fast,,25 years 49 days,,Opening batsman,"December 21, 1992, Port Moresby ",,,,Papua New Guinea Under-19s,,,,,78.0,8
75,75,75,JJ Celestine,James Joseph Celestine,Bermuda,Right-hand bat,Right-arm Medium,,44 years 118 days,,Batsman,"October 13, 1973, Grenada ",,,,Bermuda,,,,,0.0,1
76,76,76,SJS Smith,Steven Peter Devereux Smith,Scotland,Right-hand bat,Legbreak,,28 years 251 days,,Middle-order batsman,"June 2, 1989, Sydney, New South Wales ",Steve Smith,,,"['Australia', 'Antigua Hawksbills', 'Australia A', 'Australian Institute of Sports', 'Kent 2nd XI', 'Kochi Tuskers Kerala', 'New South Wales', 'New South Wales Second XI', 'New South Wales Under-19s', 'Pune Warriors', 'Rajasthan Royals', 'Rising Pune Supergiants', 'Royal Challengers Bangalore', 'Sutherland', 'Sydney Sixers', 'Sydney South East', 'Worcestershire']",,,,,8.0,1
77,77,77,MA Starc,Mitchell Aaron Starc,Australia,Left-hand bat,Left-arm Fast,,28 years 9 days,1.96 m ,Bowler,"January 30, 1990, Baulkham Hills, Sydney, New South Wales ",,,,"['Australia', 'Australia A', 'Australia Under-19s', 'New South Wales', 'New South Wales Second XI', 'New South Wales Under-17s', 'New South Wales Under-19s', 'Royal Challengers Bangalore', 'Sydney Sixers', 'Western Suburbs', 'Yorkshire']",,,Wife - AJ Healy,,12.0,22
78,78,78,Zulfiqar Babar,Zulfiqar Babar,Pakistan,Right-hand bat,Left-arm Orthodox,,39 years 60 days,,Bowler,"December 10, 1978, Okara, Punjab ",,,,"['Pakistan', 'Baluchistan', 'Baluchistan Bears', 'Multan', 'Multan Tigers', 'Pakistan A', 'Quetta Gladiators', 'Rest of Punjab', 'The Rest', 'Water and Power Development Authority']",,,,,27.0,7
79,79,79,A Martin,Anthony Martin,West Indies,Right-hand bat,Legbreak,,35 years 82 days,,Bowler,"November 18, 1982, Bethesda, Antigua ",,,,"['West Indies', 'Antigua and Barbuda', 'Antigua Hawksbills', 'Antigua XI', 'Leeward Islands', 'West Indies A']",,,,,0.0,1
80,80,80,TD Astle,Todd Duncan Astle,New Zealand,Right-hand bat,Legbreak,,31 years 137 days,,Middle-order batsman,"September 24, 1986, Palmerston North, New Zealand ",,,,"['New Zealand', 'Canterbury', 'New Zealand A', 'New Zealand Academy']",,,Father - AM Astle,,1.0,2
81,81,81,E Lewis,Evin Lewis,West Indies,Left-hand bat,Not Specified,,26 years 43 days,,Opening batsman,"December 27, 1991, Port of Spain, Trinidad ",,,,"['Barisal Bulls', 'Dhaka Dynamites', 'St Kitts and Nevis Patriots', 'Trinidad & Tobago', 'Trinidad & Tobago Red Steel', 'West Indies Under-19s']",,,,,417.0,13
82,82,82,AC Gilchrist,Adam Craig Gilchrist,Australia,Left-hand bat,Right-arm Offspin,Wicketkeeper,46 years 86 days,1.86 m ,Wicketkeeper batsman,"November 14, 1971, Bellingen, New South Wales ",,,,"['Australia', 'Deccan Chargers', 'ICC World XI', 'Kings XI Punjab', 'Middlesex', 'New South Wales', 'Western Australia']","Gilly, Churchy",,,,272.0,13
83,83,83,JM Muirhead,James Matthew Muirhead,Australia,Right-hand bat,Legbreak,,24 years 193 days,,Bowler,"July 30, 1993, Altona, Victoria ",,,,"['Australia', 'Adelaide Strikers', 'Australia Under-19s', ""Cricket Australia Chairman's XI"", 'Cricket Australia Invitation XI', 'Melbourne Stars', 'National Performance Squad', 'Perth Scorchers', ""Prime Minister's XI"", 'Victoria', 'Victoria Under-23s']",,,,,4.0,5
84,84,84,Mohammad Shahzad (2),Mohammad Shahzad,United Arab Emirates,Right-hand bat,Right-arm Fast,,38 years 177 days,,Allrounder,"August 15, 1979, Gujaranwala, Punjab, Pakistan ",,,,United Arab Emirates,,,,,281.0,20
85,85,85,ME Trescothick,Marcus Edward Trescothick,England,Left-hand bat,Right-arm Medium,Occasional wicketkeeper,42 years 45 days,6 ft 3 in ,Opening batsman,"December 25, 1975, Keynsham, Somerset ",,,Sir Bernard Lovell School,"['England', 'Somerset']","Banger, Tresco",,,,166.0,3
86,86,86,DM Richards,Dale Maurice Richards,West Indies,Right-hand bat,Right-arm Medium,,41 years 207 days,,Batsman,"July 16, 1976, Isolation Road, Belleplaine, St Andrew, Barbados ",,,,"['West Indies', 'Barbados']",,,,,0.0,1
87,87,87,PL Mommsen,Preston Luke Mommsen,Scotland,Right-hand bat,Right-arm Offspin,,30 years 117 days,,Opening batsman,"October 14, 1987, Durban, Natal ",,,,"['Scotland', 'Highlanders', 'Kent 2nd XI', 'Leicestershire', 'Leicestershire 2nd XI', 'Northamptonshire 2nd XI', 'Scotland A']",,,,,324.0,13
88,88,88,GH Bodi,Gulam Hussain Bodi,South Africa,Left-hand bat,Left-arm Chinaman,,39 years 35 days,,Opening batsman,"January 4, 1979, Hathuran, India ",,,Azaadville Secondary,"['South Africa', 'Africa XI', 'Delhi Daredevils', 'Easterns', 'Gauteng', 'KwaZulu-Natal', 'Lions', 'Titans', 'Transvaal']",Bods,,,,8.0,1
89,89,89,B Lee,Brett Lee,Australia,Right-hand bat,Right-arm Fast,,41 years 92 days,1.87 m ,Bowler,"November 8, 1976, Wollongong, New South Wales ",,,,"['Australia', 'Kings XI Punjab', 'Kolkata Knight Riders', 'New South Wales', 'Otago', 'Sydney Sixers', 'Wellington']",Bing,,Brother - S Lee,,101.0,25
